ClipNumber,Onset,Offset,Length,Hazard Location,xLocation,yLocation
Clip01WHN,35030,35030,35030,3,80,280
Clip02WHN,30050,30050,30050,4,185,290
Clip03WHN,22720,22720,22720,2,-130,190
Clip04WHN,22930,22930,22930,2,-60,300
Clip05WHN,28130,28130,28130,3,-160,460
Clip06WHN,28050,28050,28050,3,10,260
Clip07WHN,36250,36250,36250,2,-370,210
Clip08WHN,24080,24080,24080,3,-160,490
Clip09WHN,15350,15350,15350,3,50,270
Clip10WHN,29230,29230,29230,2,-30,270
Clip11WHN,42420,42420,42420,3,85,250
Clip12WHN,23270,23270,23270,3,60,245
Clip13WHN,45770,45770,45770,3,-10,240
Clip14WHN,35980,35980,35980,4,150,210
Clip15WHN,52200,52200,52200,4,105,225
Clip16WHN,26150,26150,26150,4,324,235
Clip17WHN,19930,19930,19930,3,-20,225
Clip18WHN,34730,34730,34730,3,155,200
Clip19WHN,41270,41270,41270,3,-10,230
Clip20WHN,29650,29650,29650,4,265,230
Clip21WHN,14950,14950,14950,3,-30,190
Clip22WHN,21480,21480,21480,2,-130,270
Clip23WHN,26630,26630,26630,4,320,235
Clip24WHN,39500,39500,39500,3,10,180
Clip25WHN,41150,41150,41150,4,380,185
Clip26WHN,36080,36080,36080,4,195,250
Clip27WHN,55080,55080,55080,3,-50,235
Clip28WHN,38820,38820,38820,3,50,225
Clip29WHN,40850,40850,40850,3,-20,240
Clip30WHN,27400,27400,27400,4,165,245
Clip31WHN,39680,39680,39680,3,50,200
Clip32WHN,19820,19820,19820,3,60,205
Clip33WHN,31330,31330,31330,3,30,225
Clip34WHN,60360,60360,60360,3,40,195
Clip35WHN,59220,59220,59220,4,160,200
Clip36WHN,31470,31470,31470,3,35,310
Clip37WHN,40730,40730,40730,3,110,260
Clip38WHN,33880,33880,33880,4,190,315
Clip39WHN,41770,41770,41770,3,130,265
Clip40WHN,33750,33750,33750,3,140,310
test,8000,8000,8000,3,0,0
left,8000,8000,8000,2,-30,10
right,8000,8000,8000,4,30,10
lleft,8000,8000,8000,1,-60,10
rright,8000,8000,8000,5,60,10
WHNPractice1,11000,11000,11000,3,0,10
WHNPractice2,11000,11000,11000,5,60,10
